10:28:12.599 2023/08/09	WPSEL INIT NONE, GMIR INIT NONE, CALW INIT NONE	
16:12:14.949 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:16.325 2023/08/09	GFOC GOTO 0.000000	
16:12:16.371 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:17.576 2023/08/09	GFOC GOTO 0.000000	
16:12:17.596 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:18.793 2023/08/09	GFOC GOTO 0.000000	
16:12:18.906 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:20.265 2023/08/09	GFOC GOTO 0.000000	
16:12:20.274 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:21.640 2023/08/09	GFOC GOTO 0.000000	
16:12:21.649 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:22.958 2023/08/09	GFOC GOTO 0.000000	
16:12:22.969 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:24.286 2023/08/09	GFOC GOTO 0.000000	
16:12:24.346 2023/08/09	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 0.000 L/4 1, CALW SIMULATED READY 0.000 OFF 1, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED READY 45.000 TARGET 1, GFOC SIMULATED BUSY 0.000 TARGET 1
	
16:12:25.599 2023/08/09	GFOC GOTO 0.000000	
