09:53:03.903 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 184.345 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:53:04.881 2023/08/07	GMIR STOP NONE	
09:53:04.887 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 190.609 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:53:05.236 2023/08/07	GMIR STOP NONE	
09:53:05.244 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 190.984 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:53:05.288 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:53:09.658 2023/08/07	GMIR STOP NONE	
09:53:09.693 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 190.984 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:53:09.760 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:53:13.685 2023/08/07	GMIR STOP NONE	
09:53:13.689 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 190.984 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:53:13.766 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:53:17.949 2023/08/07	GMIR STOP NONE	
09:53:17.956 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 190.984 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:53:18.019 2023/08/07	ActiveGoto GMIR: TIMEOUT	
09:53:18.214 2023/08/07	GMIR STOP NONE	
09:53:18.221 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 190.984 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
09:53:18.275 2023/08/07	ActiveGoto GMIR: TIMEOUT	
15:29:54.909 2023/08/07	GMIR GOTO 191.984000	
15:29:54.916 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 190.984 NONE -1, GFOC SIMULATED READY 0.550 TARGET 1
	
15:29:56.147 2023/08/07	GMIR GOTO 192.984000	
15:29:56.157 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 191.984 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
15:29:57.435 2023/08/07	GMIR GOTO 193.984000	
15:29:57.444 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 192.984 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
15:29:58.776 2023/08/07	GMIR GOTO 194.984000	
15:29:58.779 2023/08/07	WPROT SIMULATED READY 0.000 WP1 1, WPSEL SIMULATED READY 160.000 L/2 3, CALW SIMULATED READY 216.000 SHUTTER 4, ASEL SIMULATED READY 28.800 ON 2, GMIR SIMULATED BUSY 193.984 TARGET 1, GFOC SIMULATED READY 0.550 TARGET 1
	
15:30:00.064 2023/08/07	GMIR GOTO 195.984000	
